Marka,Model,Rok,Silnik,Moc,Predkosc_Max,Link_do_Zdjecia
Ferrari,F40,1987,2.9L V8 Twin-Turbo,478 KM,324 km/h,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/F40_Ferrari_20090509.jpg/640px-F40_Ferrari_20090509.jpg
Porsche,959,1986,2.8L Boxer Twin-Turbo,450 KM,317 km/h,https://cdn.elferspot.com/wp-content/uploads/2017/12/959_komplett_schra%CC%88g-1-von-1.jpg?class=xl
Lamborghini,Countach,1985,5.2L V12,455 KM,295 km/h,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBK0OEgA0OWhsObEyD3ZutrjyowW9NqPWBDQ&s
BMW,M3 G80,2025, 3.0L M TwinPower Turbo inline 6,530 KM,280 km/h, https://www.auto-data.net/images/f107/BMW-M3-G80_1.jpg
Audi, RS6 C8,2025, 4.0L TwinTurbo TFSI, 600KM,280 km/h, https://wyborkierowcow.pl/danetechniczne/wp-content/uploads/2024/12/Audi-RS6-C8-Avant-od-0224-dane-techniczne-1024x683.jpg
